S442,M221,Gent,14,7,8,,3,0
S443,M222,Anderlecht,11,7,5,,0,0
S444,M222,Mouscron,7,4,2,,3,0
S445,M223,Kortrijk,11,5,7,,1,0
S446,M223,Waregem,10,5,4,,2,0
S447,M224,Standard,12,6,6,,1,0
S448,M224,Club Brugge,12,8,8,,1,0
S449,M225,Antwerp,11,8,5,,2,0
S450,M225,Eupen,6,1,3,,3,0
S451,M226,Charleroi,5,3,4,,2,0
S452,M226,St Truiden,5,2,4,,2,0
S453,M227,Club Brugge,23,11,11,,0,0
S454,M227,Kortrijk,6,3,3,,0,0
S455,M228,Gent,15,7,5,,2,0
S456,M228,Oostende,6,3,2,,6,0
S457,M229,Mouscron,5,1,2,,3,1
S458,M229,Lokeren,8,6,4,,3,0
S459,M230,Standard,8,6,6,,2,0
S460,M230,Mechelen,8,3,3,,1,0
S461,M231,Waasland-Beveren,9,3,2,,1,0
S462,M231,Genk,14,7,7,,3,1
S463,M232,Waregem,12,6,8,,1,0
S464,M232,Anderlecht,5,5,3,,2,0
S465,M233,Anderlecht,2,2,0,,0,2
S466,M233,Antwerp,12,8,9,,3,0
S467,M234,Eupen,15,10,16,,2,0
S468,M234,Mouscron,8,2,2,,4,0
S469,M235,Genk,10,4,7,,3,0
S470,M235,Gent,8,5,3,,1,0
S471,M236,Kortrijk,7,5,5,,3,0
S472,M236,Charleroi,13,9,5,,2,0
S473,M237,Lokeren,5,2,2,,0,0
S474,M237,Waregem,17,8,4,,3,0
S475,M238,Mechelen,15,8,12,,3,0
S476,M238,Waasland-Beveren,3,0,1,,3,0
S477,M239,Oostende,9,2,2,,4,0
S478,M239,Standard,23,12,4,,1,0
S479,M240,St Truiden,10,6,6,,3,0
S480,M240,Club Brugge,10,5,8,,3,0
S481,M241,Standard,10,8,2,,2,0
S482,M241,Gent,11,5,5,,3,0
S483,M242,Kortrijk,8,1,6,,2,0
S484,M242,Anderlecht,11,6,2,,1,0
S485,M243,Oostende,11,5,4,,4,0
S486,M243,Mouscron,6,2,0,,5,2
S487,M244,St Truiden,9,3,2,,2,0
S488,M244,Cercle Brugge,10,6,5,,3,0
S489,M245,Waregem,8,5,5,,3,0
S490,M245,Waasland-Beveren,6,4,4,,2,0
S491,M246,Charleroi,10,5,7,,1,0
S492,M246,Antwerp,6,3,3,,2,0
S493,M247,Club Brugge,12,8,4,,0,0
S494,M247,Eupen,9,5,4,,4,1
S495,M248,Lokeren,5,1,2,,1,1
S496,M248,Genk,20,7,9,,0,0
S497,M249,Waasland-Beveren,7,4,3,,3,0
S498,M249,Standard,19,11,10,,1,1
S499,M250,Antwerp,24,12,9,,1,0
S500,M250,Kortrijk,0,0,1,,2,0
S501,M251,Cercle Brugge,18,10,5,,2,0
S502,M251,Lokeren,7,3,0,,4,0
S503,M252,Eupen,11,6,3,,1,1
S504,M252,Charleroi,11,9,3,,0,0
S505,M253,Gent,12,3,9,,3,0
S506,M253,Waregem,5,3,4,,3,0
S507,M254,Anderlecht,11,5,6,,2,0
S508,M254,Oostende,6,2,1,,2,0
S509,M255,Genk,19,9,9,,0,0
S510,M255,St Truiden,9,2,2,,5,0
S511,M256,Mouscron,14,3,6,,1,0
S512,M256,Club Brugge,9,4,5,,1,1
S513,M257,Club Brugge,12,6,8,,1,0
S514,M257,Kortrijk,3,2,5,,1,0
S515,M258,Mouscron,1,0,1,,1,0
S516,M258,Antwerp,19,6,5,,2,0
S517,M259,St Truiden,20,6,7,,0,0
S518,M259,Lokeren,4,2,2,,6,0
S519,M260,Standard,8,1,7,,2,0
S520,M260,Cercle Brugge,7,2,0,,3,0
S521,M261,Waregem,16,11,5,,0,0
S522,M261,Eupen,6,4,3,,3,0
S523,M262,Charleroi,13,7,3,,2,0
S524,M262,Anderlecht,8,5,3,,5,0
S525,M263,Gent,19,10,11,,1,0
S526,M263,Waasland-Beveren,17,7,3,,2,0
S527,M264,Oostende,9,6,4,,3,0
S528,M264,Genk,15,9,7,,3,0
S529,M265,Anderlecht,16,8,11,,1,1
S530,M265,Mouscron,7,3,5,,4,0
S531,M266,Cercle Brugge,8,4,2,,4,0
S532,M266,Waregem,14,6,13,,0,0
S533,M267,Kortrijk,14,6,8,,3,1
S534,M267,Oostende,6,4,4,,3,0
S535,M268,Lokeren,5,2,4,,4,0
S536,M268,Standard,20,14,5,,2,0
S537,M269,Waasland-Beveren,13,7,2,,3,0
S538,M269,St Truiden,11,8,2,,3,0
S539,M270,Antwerp,5,1,3,,3,0
S540,M270,Club Brugge,9,4,3,,0,0
S541,M271,Eupen,11,4,6,,2,0
S542,M271,Gent,8,4,8,,5,1
S543,M272,Genk,18,6,10,,0,0
S544,M272,Charleroi,12,7,2,,4,0
S545,M273,Oostende,7,5,0,,3,0
S546,M273,Waregem,10,3,4,,4,0
S547,M274,Antwerp,8,6,3,,3,1
